Id_Investment,y,x,Year,Country,Investor,Investor_2,Vector,Path,Area_EN,Area_ES,Detail_EN,Detail_ES,Investment,Location,Project_Type,Greenfield,Acquisition,Joint_Venture,Construction,Origin of seller,Stake,Research,Caso1,Link1,Caso2,Link2,Caso3,Link3,source 1 ,source 2,source 3,source 4,,,,,,,
009100,4.68931544100001, -71.189661577,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
009100,5.51963143799997, -71.007932397,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
009100,4.700137214, -71.184660387,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
009100,5.55046564200001, -70.998180694,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
009100,4.68931544100001, -71.189661577,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
009100,4.65331980199999, -71.255610288,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
009100,4.70009073099999, -71.184613319,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
009100,4.70004482199999, -71.184568499,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
009100,5.60973757599999, -71.208605791,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
009100,4.63349435800001, -71.268700948,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
009100,4.85645733, -70.93483484,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
009100,4.65327302499997, -71.255488951,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
009100,5.53338428900002, -71.005122952,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
009100,4.68936936400002, -71.189733369,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
